city,region,city_type,year,month,season,avg_temperature_c,humidity_pct,population,population_density_per_km2,gdp_per_capita_usd,industrialization_level,industrial_zones_count,num_subscribers,renewable_energy_pct,grid_loss_pct,smart_meter_adoption_pct,peak_demand_hour,monthly_consumption_gwh,avg_wind_speed_kmh,monthly_rainfall_mm,electricity_price_tl_kwh,co2_emission_tons,avg_daily_sunshine_hours,infrastructure_score
Kahramanmaras,Mediterranean,Medium City,2017,7,Summer,39.68,44.74,1178234,504.6,10827.29,Low,3.0,415371.0,19.52,18.19,17.32,10:00,0.6645,"55,4",63.9 mm,₺2.01,"864,183",  8.9  ,67%
Canakkale,Marmara,Small City,2016,6,Summer,,50.92,542000,163.54,9837.84,Low,3.0,161922.0,9.68,6.9,16.35,,0.2411,"41,6",,₺1.8,,  10.2  ,
Izmir,Aegean,Megacity,2019,8,Summer,36.08,71.54,4394694,2722.83,18538.77,High,11.0,1324739.0,5.55,8.73,27.6,18:00,3.7214,"66,9",225.0 mm,₺0.9,"434,525",  9.3  ,
Bursa,Marmara,Large City,2016,5,Spring,18.63,66.69,3056120,899.88,20256.28,High,8.0,1046420.0,16.81,15.81,61.97,19:00,1.7494,"7,4",246.3 mm,₺1.82,"25,670",  9.1  ,42%
Van,Eastern Anatolia,Medium City,2018,10,Autumn,7.07,65.44,1126384,255.37,10634.07,Low,4.0,400377.0,13.62,5.37,19.47,08:00,0.4088,"65,6",28.7 mm,₺2.3,"5,011",  7.2  ,84%
Sivas,Central Anatolia,Medium City,2022,12,Winter,3.07,56.1,634149,710.04,9645.23,Low,3.0,180192.0,34.4,6.09,16.61,18:00,0.3447,"47,4",10.0 mm,,"440,961",  7.1  ,35%
Ankara,Central Anatolia,Megacity,2021,3,Spring,15.47,48.8,5639076,1218.17,18469.58,High,16.0,2040768.0,17.63,15.38,58.16,18:00,3.2555,"27,3",155.1 mm,₺1.86,"184,078",  10.5  ,69%
Denizli,Aegean,Medium City,2018,9,Autumn,19.4,67.14,1062840,221.73,14236.62,Medium,,,33.86,14.16,35.78,19:00,0.5086,"8,5",162.7 mm,₺1.91,"644,807",  11.0  ,35%
Tekirdag,Marmara,Medium City,2021,12,Winter,2.41,50.76,1085000,502.7,13792.21,Medium,2.0,337843.0,14.23,6.28,52.76,21:00,0.8078,"79,3",43.1 mm,₺1.56,"114,815",  2.6  ,64%
Kahramanmaras,Mediterranean,Medium City,2015,3,Spring,25.0,60.43,1178234,1916.42,8700.11,Low,3.0,408003.0,25.14,9.93,74.68,19:00,0.4494,"5,5",256.2 mm,,"367,085",  5.5  ,70%
Sivas,Central Anatolia,Medium City,2019,11,Autumn,11.68,50.26,634149,247.3,12201.89,Low,1.0,189611.0,15.51,10.11,56.75,20:00,0.3041,"62,7",90.8 mm,₺1.96,"19,242",  2.2  ,70%
Izmir,Aegean,Megacity,2021,1,Winter,4.58,81.7,4394694,887.52,18441.8,High,12.0,1298356.0,30.2,13.03,20.91,08:00,3.6508,"61,0",277.2 mm,₺0.72,"722,030",  2.9  ,35%
Tekirdag,Marmara,Medium City,2019,9,Autumn,14.79,59.51,1085000,298.74,12270.67,Medium,3.0,408247.0,8.14,5.38,64.34,10:00,0.483,"33,3",208.6 mm,₺1.82,"435,845",  3.7  ,76%
Kocaeli,Marmara,Large City,2019,10,Autumn,17.4,71.64,2031963,533.57,17168.16,High,7.0,718844.0,23.0,17.44,36.77,10:00,1.3362,"42,1",22.1 mm,₺0.67,"488,512",  3.0  ,62%
Balıkesir,Marmara,Medium City,2018,11,Autumn,12.25,43.96,1264958,376.05,8525.91,Low,3.0,400377.0,26.12,5.43,25.8,10:00,0.4197,"74,7",288.0 mm,₺1.26,"736,396",  4.4  ,95%
Mardin,Southeastern Anatolia,Small City,2017,7,Summer,35.1,62.19,833645,208.17,8134.97,Low,3.0,316577.0,42.41,10.05,73.61,10:00,0.4347,"34,7",119.0 mm,₺1.89,"201,679",  3.8  ,86%
Sivas,Central Anatolia,Medium City,2020,7,Summer,27.13,59.43,634149,307.04,9029.48,Low,,191483.0,12.28,8.85,14.59,20:00,0.4068,"78,0",223.6 mm,₺1.25,"778,072",  9.6  ,72%
Erzurum,Eastern Anatolia,Medium City,2019,12,Winter,-4.15,84.41,762321,637.64,11120.65,Low,,215984.0,23.97,12.02,25.67,08:00,0.4326,"44,3",113.0 mm,₺1.19,"351,419",  8.4  ,54%
Trabzon,Black Sea,Medium City,2021,2,Winter,-0.11,54.57,811874,803.45,7121.74,Low,2.0,237230.0,31.02,8.19,55.59,21:00,0.5211,"12,0",61.8 mm,₺0.78,"761,656",  9.4  ,52%
Bursa,Marmara,Large City,2016,1,Winter,-4.74,40.28,3056120,2206.97,17380.68,High,9.0,909029.0,13.55,10.24,14.41,09:00,2.5977,"66,0",101.6 mm,₺2.32,"749,764",  4.3  ,84%
Diyarbakir,Southeastern Anatolia,Large City,2019,10,Autumn,22.37,53.94,1801268,2594.49,11310.49,Low,4.0,640531.0,44.78,12.23,39.4,08:00,0.6739,"20,9",36.1 mm,₺0.69,"96,084",  5.5  ,58%
Trabzon,Black Sea,Medium City,2018,1,Winter,-3.7,70.77,811874,182.58,7670.8,Low,2.0,267322.0,35.37,6.34,68.57,10:00,0.4614,"46,6",111.0 mm,₺0.99,"318,055",  6.6  ,39%
Van,Eastern Anatolia,Medium City,2015,2,Winter,-7.22,62.68,1126384,577.27,8286.94,Low,4.0,400238.0,13.73,16.38,13.91,10:00,0.6338,"26,9",221.7 mm,₺0.69,"57,116",  10.4  ,65%
Denizli,Aegean,Medium City,2019,5,Spring,23.79,68.44,1062840,307.11,8889.36,Medium,2.0,354321.0,23.08,17.26,,18:00,0.5141,"66,2",211.1 mm,₺2.03,,  2.9  ,36%
Malatya,Eastern Anatolia,Medium City,2020,4,Spring,9.27,59.89,781118,1321.95,8245.81,Low,2.0,294086.0,20.09,10.0,60.18,09:00,0.3331,"67,1",290.8 mm,,"551,359",,51%
Trabzon,Black Sea,Medium City,2016,1,Winter,1.86,44.51,811874,345.38,6852.62,Low,3.0,260961.0,39.49,16.14,40.78,08:00,0.4606,"21,6",251.6 mm,₺0.96,"727,774",  3.1  ,88%
Mersin,Mediterranean,Large City,2017,8,Summer,38.12,45.87,1936586,688.76,10889.5,Medium,4.0,623406.0,10.33,8.92,48.95,08:00,1.0305,"53,4",68.8 mm,₺1.85,"872,302",  3.2  ,78%
Bursa,Marmara,Large City,2015,2,Winter,1.68,53.99,3056120,758.9,19225.31,High,8.0,913176.0,34.32,14.24,33.1,10:00,2.4489,"12,1",200.4 mm,₺1.54,"96,614",  5.4  ,41%
Sivas,Central Anatolia,Medium City,2020,1,Winter,-1.59,46.38,634149,385.06,8940.27,Low,2.0,208408.0,11.42,18.3,72.96,10:00,0.4138,,114.2 mm,₺1.95,"155,028",  10.2  ,54%
Kayseri,Central Anatolia,Large City,2021,12,Winter,0.73,42.87,1441523,611.86,12336.42,Medium,3.0,448654.0,36.99,9.65,59.11,18:00,1.0028,"35,9",214.3 mm,₺1.69,"140,042",  10.8  ,84%
Manisa,Aegean,Medium City,2018,12,Winter,9.38,65.37,1452881,851.64,12764.12,Medium,3.0,535206.0,6.4,16.88,54.59,10:00,0.8925,"12,3",201.2 mm,₺1.55,"534,761",  10.0  ,77%
Afyonkarahisar,Aegean,Small City,2019,3,Spring,25.2,40.33,734000,250.3,10100.32,Low,3.0,273104.0,6.5,,72.95,09:00,0.3006,"15,8",186.8 mm,₺0.81,"896,204",  3.1  ,45%
Antalya,Mediterranean,Large City,2021,6,Summer,35.27,82.37,2619832,945.89,8021.21,Low,8.0,936559.0,41.9,17.79,35.53,10:00,1.3954,"20,9",19.9 mm,₺1.83,"110,992",  4.5  ,69%
Samsun,Black Sea,Large City,2015,5,Spring,14.84,80.37,1361505,301.49,6746.6,Low,3.0,494486.0,23.17,15.41,,21:00,0.5041,"40,7",70.8 mm,₺1.09,"234,734",  5.0  ,68%
Ankara,Central Anatolia,Megacity,2019,2,Winter,-1.22,65.86,5639076,1286.7,18736.24,High,,1681505.0,28.48,16.41,21.02,20:00,5.1274,"10,8",76.9 mm,₺1.89,"114,835",  10.6  ,99%
Denizli,Aegean,Medium City,2016,5,Spring,21.57,57.43,1062840,448.96,14439.94,Medium,4.0,339784.0,29.66,11.86,39.6,19:00,0.444,"22,6",63.9 mm,₺2.1,"77,318",  9.8  ,
Adana,Mediterranean,Large City,2015,2,Winter,11.3,74.84,2237940,3191.28,17333.37,High,6.0,695195.0,42.93,13.15,55.07,10:00,1.8497,"5,5",15.7 mm,,,  10.4  ,30%
Diyarbakir,Southeastern Anatolia,Large City,2015,3,Spring,24.02,48.94,1801268,439.23,10104.63,Low,6.0,652444.0,32.35,11.81,61.33,18:00,0.6427,"72,4",33.9 mm,₺0.97,"811,536",  9.1  ,90%
Bursa,Marmara,Large City,2019,6,Summer,35.85,66.64,3056120,5109.65,19573.93,High,8.0,960753.0,35.17,,21.99,20:00,2.3664,"46,4",139.6 mm,₺2.02,"454,458",  3.4  ,85%
Tekirdag,Marmara,Medium City,2021,3,Spring,21.24,60.36,1085000,242.85,13327.99,Medium,2.0,343998.0,41.8,9.06,46.98,09:00,0.5062,"17,6",199.7 mm,₺2.16,"722,099",  5.7  ,30%
